번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,한실수,양실수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,여성종사자수,남성종사자수,다중이용업소여부
1,숙박업,03_11_03_P,3250000,3250000-214-2019-00001,2019-03-25,,1,영업/정상,1,영업,,,,,051 248 7179,313.24,600-046,부산광역시 중구 남포동6가 95-1번지,"부산광역시 중구 비프광장로 14-2, 3.4층 (남포동6가)",48981,게스트하우스 디어문,2020-04-13 16:48,U,2020-04-15 2:40,숙박업(생활),384750.1812,179577.9797,숙박업(생활),4,1,3,4,0,0,0,6,,,,,0,0,N
2,숙박업,03_11_03_P,3250000,3250000-214-2023-00002,2023-09-08,,1,영업/정상,1,영업,,,,,,2041.13,600-046,부산광역시 중구 남포동6가 99,부산광역시 중구 중구로5번길 14 (남포동6가),48981,래디언트 남포,2025-11-21 14:29,U,2025-11-23 2:40,숙박업(생활),384717.4733,179565.8992,숙박업(생활),0,0,3,20,0,0,0,68,,,,,0,0,N
3,숙박업,03_11_03_P,3250000,3250000-214-2023-00001,2023-08-22,,1,영업/정상,1,영업,,,,,051 723 3232,2035.95,600-046,부산광역시 중구 남포동6가 99,부산광역시 중구 중구로5번길 14 (남포동6가),48981,코티스 앰버서더 그라운드,2025-10-20 15:29,U,2025-10-23 2:40,숙박업(생활),384717.4733,179565.8992,숙박업(생활),0,0,3,20,0,0,0,70,,,,,0,0,N
4,숙박업,03_11_03_P,3250000,3250000-214-2019-00002,2019-09-02,,1,영업/정상,1,영업,,,,,,201.2,600-063,부산광역시 중구 신창동3가 5-5,"부산광역시 중구 광복로35번길 32, 2,3층 (신창동3가)",48946,로케트하우스,2024-06-05 11:07,U,2024-06-08 2:40,숙박업(생활),384920.9809,179988.3888,숙박업(생활),4,1,2,3,0,0,0,4,,,,,0,0,N
5,숙박업,03_11_03_P,3250000,3250000-214-2024-00006,2024-08-26,,1,영업/정상,1,영업,,,,,,431.34,600-061,부산광역시 중구 신창동1가 32-3,"부산광역시 중구 중구로44번길 19-1, 2,3층 (신창동1가)",48947,루츠하우스,2024-09-04 15:54,U,2024-09-07 2:40,숙박업(생활),385023.2471,179977.6825,숙박업(생활),0,0,2,3,0,0,0,2,,,,,0,0,N
6,숙박업,03_11_03_P,3250000,3250000-214-2024-00008,2024-10-15,,1,영업/정상,1,영업,,,,,,75.12,600-082,부산광역시 중구 보수동2가 17-4,"부산광역시 중구 흑교로87번길 11-5, 1~3층 (보수동2가)",48964,비버스테이,2025-09-09 13:48,U,2025-09-11 2:40,숙박업(생활),384287.0853,180444.8026,숙박업(생활),3,0,1,3,0,0,0,3,,,,,0,0,N
7,숙박업,03_11_03_P,3250000,3250000-214-2024-00007,2024-10-04,,1,영업/정상,1,영업,,,,,,239.47,600-042,부산광역시 중구 남포동2가 32-2,"부산광역시 중구 구덕로 26, 3,4층 (남포동2가)",48954,컴포트호텔,2024-10-04 15:06,I,2024-10-06 0:13,숙박업(생활),385298.7966,179546.4519,숙박업(생활),0,0,3,4,0,0,0,2,,,,,0,0,N
8,숙박업,03_11_03_P,3250000,3250000-201-2024-00001,2024-10-04,,1,영업/정상,1,영업,,,,,,404.72,600-045,부산광역시 중구 남포동5가 70,"부산광역시 중구 자갈치로59번길 5-21, 2,3,4층 (남포동5가)",48983,동양장,2025-07-23 16:43,U,2025-07-25 2:40,여관업,385052.8456,179510.0414,여관업,0,0,2,4,0,0,0,23,,,,,0,0,N
9,숙박업,03_11_03_P,3250000,3250000-201-1974-00105,1974-08-10,,1,영업/정상,1,영업,,,,,051247 4161,182.58,600-045,부산광역시 중구 남포동5가 77-2번지,부산광역시 중구 자갈치로59번길 5-35 (남포동5가),48983,남선장,2019-12-17 15:46,U,2019-12-19 2:40,여관업,385011.695,179500.4454,여관업,0,0,0,0,0,0,6,5,,,,임대,,,N
10,숙박업,03_11_03_P,3250000,3250000-201-1970-00116,1970-08-28,,1,영업/정상,1,영업,,,,,051245 5277,93.32,600-071,"부산광역시 중구 부평동1가 41-7번지 ,8","부산광역시 중구 광복로12번길 7-5 (부평동1가, 41-7,8)",48980,세피아,2019-07-10 17:45,U,2019-07-12 2:40,여관업,384716.5096,179643.7637,여관업,0,0,0,0,0,0,2,16,,,,,,,N
11,숙박업,03_11_03_P,3250000,3250000-201-2013-00002,2013-05-01,,1,영업/정상,1,영업,,,,,051 464 6886,1000.05,600-817,부산광역시 중구 중앙동4가 81-8번지 외1필지,부산광역시 중구 충장대로5번길 38 (중앙동4가),48937,호텔그레이194,2020-03-25 15:27,U,2020-03-27 2:40,일반호텔,385707.8287,180730.5452,일반호텔,6,1,2,6,0,0,0,26,,,,자가,,,N
