그룹명,날짜,방문수,,,,,,,,
감지해변,2025-08-01,661,,,,,,,,
감지해변,2025-08-02,689,,,,열 레이블,,,,
감지해변,2025-08-03,625,,,,감지해변,봉래물양장갤러리,흰여울문화마을,(비어 있음),총합계
감지해변,2025-08-04,478,,,합계 : 방문수,10849,48191,78680,,137720
감지해변,2025-08-07,228,,,,,,,,
감지해변,2025-08-08,395,,,,,,,,
감지해변,2025-08-09,388,,,,,,,,
감지해변,2025-08-10,402,,,,,,,,
감지해변,2025-08-11,442,,,,,,,,
감지해변,2025-08-12,347,,,,,,,,
감지해변,2025-08-13,522,,,,,,,,
감지해변,2025-08-14,601,,,,,,,,
감지해변,2025-08-15,794,,,,,,,,
감지해변,2025-08-16,713,,,,,,,,
감지해변,2025-08-17,578,,,,,,,,
감지해변,2025-08-18,643,,,,,,,,
감지해변,2025-08-19,290,,,,,,,,
감지해변,2025-08-20,2,,,,,,,,
감지해변,2025-08-21,0,,,,,,,,
감지해변,2025-08-22,0,,,,,,,,
감지해변,2025-08-23,0,,,,,,,,
감지해변,2025-08-24,0,,,,,,,,
감지해변,2025-08-25,0,,,,,,,,
감지해변,2025-08-26,0,,,,,,,,
감지해변,2025-08-27,0,,,,,,,,
감지해변,2025-08-28,320,,,,,,,,
감지해변,2025-08-29,456,,,,,,,,
감지해변,2025-08-30,662,,,,,,,,
감지해변,2025-08-31,613,,,,,,,,
봉래물양장갤러리,2025-08-01,1820,,,,,,,,
봉래물양장갤러리,2025-08-02,1552,,,,,,,,
봉래물양장갤러리,2025-08-03,1538,,,,,,,,
봉래물양장갤러리,2025-08-04,1612,,,,,,,,
봉래물양장갤러리,2025-08-07,898,,,,,,,,
봉래물양장갤러리,2025-08-08,1801,,,,,,,,
봉래물양장갤러리,2025-08-09,1575,,,,,,,,
봉래물양장갤러리,2025-08-10,1532,,,,,,,,
봉래물양장갤러리,2025-08-11,1491,,,,,,,,
봉래물양장갤러리,2025-08-12,1383,,,,,,,,
봉래물양장갤러리,2025-08-13,1688,,,,,,,,
봉래물양장갤러리,2025-08-14,1837,,,,,,,,
봉래물양장갤러리,2025-08-15,1636,,,,,,,,
봉래물양장갤러리,2025-08-16,2050,,,,,,,,
봉래물양장갤러리,2025-08-17,1383,,,,,,,,
봉래물양장갤러리,2025-08-18,1678,,,,,,,,
봉래물양장갤러리,2025-08-19,1705,,,,,,,,
봉래물양장갤러리,2025-08-20,1726,,,,,,,,
봉래물양장갤러리,2025-08-21,1650,,,,,,,,
봉래물양장갤러리,2025-08-22,1767,,,,,,,,
봉래물양장갤러리,2025-08-23,1639,,,,,,,,
봉래물양장갤러리,2025-08-24,1351,,,,,,,,
봉래물양장갤러리,2025-08-25,1616,,,,,,,,
봉래물양장갤러리,2025-08-26,2049,,,,,,,,
봉래물양장갤러리,2025-08-27,2515,,,,,,,,
봉래물양장갤러리,2025-08-28,1712,,,,,,,,
봉래물양장갤러리,2025-08-29,1834,,,,,,,,
봉래물양장갤러리,2025-08-30,1825,,,,,,,,
봉래물양장갤러리,2025-08-31,1328,,,,,,,,
흰여울문화마을,2025-08-01,3001,,,,,,,,
흰여울문화마을,2025-08-02,2781,,,,,,,,
흰여울문화마을,2025-08-03,2768,,,,,,,,
흰여울문화마을,2025-08-04,2195,,,,,,,,
흰여울문화마을,2025-08-07,1532,,,,,,,,
흰여울문화마을,2025-08-08,2928,,,,,,,,
흰여울문화마을,2025-08-09,2750,,,,,,,,
흰여울문화마을,2025-08-10,2357,,,,,,,,
흰여울문화마을,2025-08-11,2564,,,,,,,,
흰여울문화마을,2025-08-12,2389,,,,,,,,
흰여울문화마을,2025-08-13,2894,,,,,,,,
흰여울문화마을,2025-08-14,3181,,,,,,,,
흰여울문화마을,2025-08-15,3148,,,,,,,,
흰여울문화마을,2025-08-16,3076,,,,,,,,
흰여울문화마을,2025-08-17,2662,,,,,,,,
흰여울문화마을,2025-08-18,2855,,,,,,,,
흰여울문화마을,2025-08-19,2784,,,,,,,,
흰여울문화마을,2025-08-20,2615,,,,,,,,
흰여울문화마을,2025-08-21,2872,,,,,,,,
흰여울문화마을,2025-08-22,2726,,,,,,,,
흰여울문화마을,2025-08-23,2890,,,,,,,,
흰여울문화마을,2025-08-24,2583,,,,,,,,
흰여울문화마을,2025-08-25,2722,,,,,,,,
흰여울문화마을,2025-08-26,3026,,,,,,,,
흰여울문화마을,2025-08-27,2890,,,,,,,,
흰여울문화마을,2025-08-28,2742,,,,,,,,
흰여울문화마을,2025-08-29,2649,,,,,,,,
흰여울문화마을,2025-08-30,2647,,,,,,,,
흰여울문화마을,2025-08-31,2453,,,,,,,,
