순위,관광지ID,관심지점명,구분,연령대,비율
1,f4b4f749a6cdfd734d4512c18b227d6a,태종대,관광명소,60,61.6
2,3c084e342c5c7955c27bd07463731102,국립해양박물관,문화생활시설,60,12.9
3,b2cd6fdc324c7e59e23f4249c1077c9d,태종대전망대,관광명소,60,11.0
4,9ef97bf6a998d70b5492874b32608b80,태종대온천,관광명소,60,3.8
5,b9772199f0e3db266edf35f0520d616e,아르떼뮤지엄부산,문화생활시설,60,3.2
6,7ac5723b1829ec4e00a71780ebea6c82,피아크,문화생활시설,60,3.1
7,7dffd5fd9a018ff2caa49c828786ebde,복천사,종교,60,1.1
8,88385383c048cf41537076503e3c4123,한마음선원부산지원,종교,60,1.1
9,67078bddf2b82b835758acadcb1f68ca,영도신방파제,관광명소,60,1.1
10,87fbfd0e72719e116139ff3b1431fc60,남해해양경찰수련원,레저/스포츠,60,1.1
