순위,관광지ID,관심지점명,구분,연령대,비율
1,f4b4f749a6cdfd734d4512c18b227d6a,태종대,관광명소,전체,47.5
2,3c084e342c5c7955c27bd07463731102,국립해양박물관,문화생활시설,전체,27.6
3,b2cd6fdc324c7e59e23f4249c1077c9d,태종대전망대,관광명소,전체,6.5
4,7ac5723b1829ec4e00a71780ebea6c82,피아크,문화생활시설,전체,4.7
5,b9772199f0e3db266edf35f0520d616e,아르떼뮤지엄부산,문화생활시설,전체,4.5
6,9ef97bf6a998d70b5492874b32608b80,태종대온천,관광명소,전체,4.0
7,6bd4baec3a9c1c2b8eb1dbf6a2f574e9,청학배수지전망대,관광명소,전체,1.5
8,893192c6c5056f78ebcc5d3f526cb22a,영도조내기고구마역사기념관,문화생활시설,전체,1.3
9,90966b298f948b951f8fa0c03d65cca4,부산삼진어묵체험역사관,문화생활시설,전체,1.2
10,ab19d1fc66e0c6847f43994c2793a926,청학수변공원,관광명소,전체,1.0
