순위,관광지ID,관심지점명,구분,연령대,비율
1,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,관광명소,20,58.3
2,943b04432f738e9bb91407d784abe573,다대포해변공원,관광명소,20,17.7
3,e072c1b4998d4085fa9a342d74a7042f,부산현대미술관,문화생활시설,20,7.1
4,8e5645030d7d79144dffe58933a410ac,을숙도공원,관광명소,20,3.9
5,817ddaff8d95c9348030facfa5a7a9c0,에덴유원지,관광명소,20,3.0
6,d370e090659fb62031b46eec83ecdc96,을숙도피크닉광장,관광명소,20,2.6
7,9a534489368634e1093d016bb5b5d573,장림포구,관광명소,20,2.5
8,dd3bbd96a763adc4f409ee41daeae1a5,CGV하단아트몰링,문화생활시설,20,2.0
9,4f4811e4f63524c1f6340b0726ce51ea,을숙도,관광명소,20,1.5
10,acf9bff9d08b38876f58ab7c9bf8a454,롯데시네마부산장림점,문화생활시설,20,1.5
