관광지ID,중심시도명,중심시군구명,중심관광지명,중심카테고리 명_대,중심카테고리 명_중,순위
f4b4f749a6cdfd734d4512c18b227d6a,부산광역시,영도구,태종대,관광지,역사관광,1
3c084e342c5c7955c27bd07463731102,부산광역시,영도구,국립해양박물관,관광지,문화관광,2
549bc4c4eb4664151739287503544839,부산광역시,영도구,흰여울문화마을,관광지,기타관광,3
b9772199f0e3db266edf35f0520d616e,부산광역시,영도구,아르떼뮤지엄/부산,관광지,문화관광,4
b2cd6fdc324c7e59e23f4249c1077c9d,부산광역시,영도구,태종대전망대,관광지,문화관광,5
7ac5723b1829ec4e00a71780ebea6c82,부산광역시,영도구,피아크,관광지,문화관광,6
5273477032d69237c2967e5372966eec,부산광역시,영도구,라발스호텔,숙박,숙박,7
0cf270e513d37eca4fe4a012d2f867d7,부산광역시,영도구,남항시장,관광지,쇼핑,8
a6f59d6d7c74f2bb3e87874cc2673652,부산광역시,영도구,호텔아델라,숙박,숙박,9
9ef97bf6a998d70b5492874b32608b80,부산광역시,영도구,태종대온천,관광지,체험관광,10
f29629b150d2cd7643f9fc6c9044e3ad,부산광역시,영도구,감지해변,관광지,자연관광,11
812f946251ddd22b2beb0c4e43b439d6,부산광역시,영도구,영도마리노오토캠핑장,숙박,숙박,12
fb4c62d51f06a3cd3dd64638a17e12f8,부산광역시,영도구,태종대자갈마당,관광지,기타관광,13
f9d190f454b7f1ac75ba5ca4b86aeddb,부산광역시,영도구,시타딘커넥트호텔/하리부산,숙박,숙박,14
893192c6c5056f78ebcc5d3f526cb22a,부산광역시,영도구,영도조내기고구마역사기념관,관광지,문화관광,15
c904edc7490f67419874f802e2cdb0cd,부산광역시,영도구,그랜드베른호텔,숙박,숙박,16
7c01da624a059714243cc2b34d56e2c1,부산광역시,영도구,영도봉래시장,관광지,쇼핑,17
7dffd5fd9a018ff2caa49c828786ebde,부산광역시,영도구,복천사,관광지,역사관광,18
87fbfd0e72719e116139ff3b1431fc60,부산광역시,영도구,남해해양경찰수련원,관광지,레저스포츠,19
0d0dfeb1f31f70baa6c494a8a57fa91f,부산광역시,영도구,노스하버호텔,숙박,숙박,20
784a21debbe01f9aff1fedd7286d478c,부산광역시,영도구,태종대다누비열차,관광지,기타관광,21
ebc3db3199e2aad9d654178b9cce5ed6,부산광역시,영도구,베이하운드호텔,숙박,숙박,22
317b93c5ae74487dfce5c84f98438b07,부산광역시,영도구,영도국제크루즈터미널,관광지,기타관광,23
6bd4baec3a9c1c2b8eb1dbf6a2f574e9,부산광역시,영도구,청학배수지전망대,관광지,문화관광,24
0db1976e7ba9a9bc032004e3abd5ff2f,부산광역시,영도구,아미르공원,관광지,문화관광,25
1d5ed51bf3b25157b53dabe3c247dff8,부산광역시,영도구,청학시장,관광지,쇼핑,26
c324444ee60084e215eff63f4363d94b,부산광역시,영도구,태종대수국꽃문화축제,관광지,문화관광,27
a6ef73f1d3d93ebac8331aac0838ca1e,부산광역시,영도구,태종대오션플라잉테마파크/하부정류장,관광지,레저스포츠,28
8d531dd85b1180c75e367437b4dcbc26,부산광역시,영도구,태종사,관광지,역사관광,29
a7f1445ac535308724c185ac9a5d7442,부산광역시,영도구,영도하늘전망대,관광지,문화관광,30
ed9d4db0ad76c07a35951c913296c7ae,부산광역시,영도구,브라운도트호텔/영도대교점,숙박,숙박,31
cffde98f8c4e8319b5667c5611de8d67,부산광역시,영도구,놀라운드,관광지,문화관광,32
56467586525c949b069bf2d870a9e607,부산광역시,영도구,중리방파제,관광지,자연관광,33
d51834ea51bc9e66e99db9df97a456c6,부산광역시,영도구,동삼해수천,관광지,기타관광,34
