순위,중심관광지ID,중심관광지명,중심시도명,중심시군구명,중심카테고리 명_중,연관관광지ID,연관관광지명,연관관광지시도명,연관관광지시군구명,구분
1,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,d6dc86e69c840d73ff5067a11c789691,자갈치시장,부산광역시,중구,쇼핑
2,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,3c084e342c5c7955c27bd07463731102,국립해양박물관,부산광역시,영도구,문화관광
3,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,ccf40214e7861046a572df429ee6e389,국제시장,부산광역시,중구,쇼핑
4,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,549bc4c4eb4664151739287503544839,흰여울문화마을,부산광역시,영도구,기타관광
5,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,ca6e8851e611e1b92c5448d82208acdb,송도해상케이블카,부산광역시,서구,기타관광
6,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,8c1c1bfc8a2750310c5d1d0695ef74eb,피아크카페앤베이커리,부산광역시,영도구,음식
7,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,4f8c6518acd1e6ff053e589e0ac90fa7,송도해수욕장,부산광역시,서구,자연관광
8,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,b9772199f0e3db266edf35f0520d616e,아르떼뮤지엄/부산,부산광역시,영도구,문화관광
9,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,d68c2c6af7cf6cb1092154f35a52c1c7,해동용궁사,부산광역시,기장군,역사관광
10,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,093231be3cdaa9651091482fbeb0c973,오륙도스카이워크,부산광역시,남구,문화관광
11,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,8f2047659a4ecfe1cda3579c0b964211,스릴온더머그,부산광역시,영도구,음식
12,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,c63b5b337225ae746ba52eb7f398aac1,광안리해수욕장,부산광역시,수영구,자연관광
13,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,88222e7e5f8172698373086e65c1fad1,해운대해수욕장,부산광역시,해운대구,자연관광
14,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,b9dab70a4eac8268531bbd26c0ac30aa,감천문화마을,부산광역시,사하구,기타관광
15,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,69707e2a65d17c7f4099124af0637b69,롯데백화점/광복점,부산광역시,중구,쇼핑
16,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,ab2e94ff2b8cf1599c0f785fd9a8388d,카페385,부산광역시,영도구,음식
17,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,176a128dcb3cc49d43f4a00fdf1ecfe5,목장원,부산광역시,영도구,음식
18,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,b175902d3cb99348a4864f63588f9c77,부평깡통시장,부산광역시,중구,쇼핑
19,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,7ac5723b1829ec4e00a71780ebea6c82,피아크,부산광역시,영도구,문화관광
20,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,f2e9033d7bb5b3b49bf124afc5298040,태종대짬뽕/[중식],부산광역시,영도구,음식
21,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,430cef11b1f6bcd40b4ba642743d7e1b,모모스커피/영도로스터리&커피바,부산광역시,영도구,음식
22,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,09485ccc9e6891848afe25485d9a1f94,이재모피자/본점,부산광역시,중구,음식
23,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,46760a68bdafbf8cc4606a4193450653,암남공원,부산광역시,서구,문화관광
24,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,20856d1ce1f3859626f915a4cdc685a3,스타벅스/영도청학DT점,부산광역시,영도구,음식
25,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,e2cb4396b9310ac54f6959ef6388d96b,제주복국,부산광역시,영도구,음식
26,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,c2a65049f23ee105a35fbee6870b0f20,영도면옥,부산광역시,영도구,음식
27,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,d9b08877b4f36341a3f5a433c2cee2a5,왔다식당,부산광역시,영도구,음식
28,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,2a9490c35f5312f9b1b245fe218ba926,미피카페/부산,부산광역시,영도구,음식
29,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,62b671a97c4e4c6209423dbf3bfa49a8,동백섬,부산광역시,해운대구,자연관광
30,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,298555869c05d2c1c551359fb199d560,백설대학,부산광역시,영도구,음식
31,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,b4c94d6af3a4e36f6458d4ae7a1dbae1,용두산공원,부산광역시,중구,문화관광
32,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,5450fecdab3e998eb0d930d9f329f627,송도용궁구름다리,부산광역시,서구,기타관광
33,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,2541e7b58a76e4324c486141292a1600,부산역,부산광역시,동구,기타관광
34,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,f1c073e020d5d2d30cbb0aaafddbc329,빨간등대/영도본점,부산광역시,영도구,음식
35,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,5273477032d69237c2967e5372966eec,라발스호텔,부산광역시,영도구,숙박
36,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,bc8e257824b2a8ff287f1555e28407d4,한화리조트/해운대,부산광역시,해운대구,숙박
37,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,b2cd6fdc324c7e59e23f4249c1077c9d,태종대전망대,부산광역시,영도구,문화관광
38,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,5799b6d0af5ec9d8e6be0d157ef8fa78,기장혼국보미역/본점,부산광역시,기장군,음식
39,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,0cf270e513d37eca4fe4a012d2f867d7,남항시장,부산광역시,영도구,쇼핑
40,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,bff3306e991f3c8baf640852aef96617,부산광역시교육청학생예술문화회관/영도놀이마루,부산광역시,영도구,문화관광
41,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,7d41150332be599ffdf85bc4b325dffc,샤브20/부산영도점,부산광역시,영도구,음식
42,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,f29629b150d2cd7643f9fc6c9044e3ad,감지해변,부산광역시,영도구,자연관광
43,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,bd31c55b878ebaec79def68ff2e259b9,해운대블루라인파크/미포정거장,부산광역시,해운대구,기타관광
44,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,584da5dc231bff1b8c8315de30d1ab4e,올바릇식당/영도점,부산광역시,영도구,음식
45,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,eaa81702d59cd45f8d10062010b96f21,코모도호텔/부산,부산광역시,중구,숙박
46,f4b4f749a6cdfd734d4512c18b227d6a,태종대,부산광역시,영도구,역사관광,9ef97bf6a998d70b5492874b32608b80,태종대온천,부산광역시,영도구,체험관광
