관광지ID,중심시도명,중심시군구명,중심관광지명,중심카테고리 명_대,중심카테고리 명_중,순위
b9dab70a4eac8268531bbd26c0ac30aa,부산광역시,사하구,감천문화마을,관광지,기타관광,1
80b68dec7a324fdf7d4bc5a5ef023994,부산광역시,사하구,다대포해수욕장,관광지,자연관광,2
943b04432f738e9bb91407d784abe573,부산광역시,사하구,다대포해변공원,관광지,문화관광,3
ae901317abf2d1076754be451457aea4,부산광역시,사하구,아트몰링/하단점,관광지,쇼핑,4
e072c1b4998d4085fa9a342d74a7042f,부산광역시,사하구,부산현대미술관,관광지,문화관광,5
dfffe7bbacf16b9145d731e96844bc0c,부산광역시,사하구,뉴코아아울렛/괴정점,관광지,쇼핑,6
e3e21c5cd7f25921dfe9713f02ebcd9e,부산광역시,사하구,장림골목시장,관광지,쇼핑,7
8e5645030d7d79144dffe58933a410ac,부산광역시,사하구,을숙도공원,관광지,문화관광,8
24ae399213c8d5cae5fa16a3168fc432,부산광역시,사하구,낙동강하구에코센터,관광지,기타관광,9
f6edce2b2c6eb4e26b2ff6310146736d,부산광역시,사하구,아미산전망대,관광지,문화관광,10
4ede2287c1ebb54cc20e3db1f6636a4c,부산광역시,사하구,하단레이어스호텔,숙박,숙박,11
acf9bff9d08b38876f58ab7c9bf8a454,부산광역시,사하구,롯데시네마/부산장림점,관광지,문화관광,12
d370e090659fb62031b46eec83ecdc96,부산광역시,사하구,을숙도/피크닉광장,관광지,문화관광,13
9a534489368634e1093d016bb5b5d573,부산광역시,사하구,장림포구,관광지,자연관광,14
6565edde94b6564b19965ca7cde7536d,부산광역시,사하구,괴정시장,관광지,쇼핑,15
7802497f9205dc6af09ce33ee7f7b012,부산광역시,사하구,감천중앙부두,관광지,자연관광,16
d06bc96315176a4c3a56f02db292092c,부산광역시,사하구,부산교육역사관,관광지,문화관광,17
e48ca55b112f6fbc0d8a34dbe53aa8be,부산광역시,사하구,을숙도문화회관/들락날락,관광지,문화관광,18
ee6566a64bf2f579f3767e82d4aaf1bb,부산광역시,사하구,감천항서방파제,관광지,자연관광,19
737192cc9d132d92144e9a249880cbad,부산광역시,사하구,다대활어재래시장,관광지,쇼핑,20
817ddaff8d95c9348030facfa5a7a9c0,부산광역시,사하구,에덴유원지,관광지,문화관광,21
d1037db88d9c32cbad3cbee48c409fbd,부산광역시,사하구,감천항,관광지,자연관광,22
a64e90a54e37f5cfe8a1bd7e891f2b38,부산광역시,사하구,감천문화마을안내센터,관광지,기타관광,23
637bbdb4bc7fbfb5227edb48246338b9,부산광역시,사하구,크로바관광호텔,숙박,숙박,24
dbf78aa57c0dd7c9ddac42c2529eac5b,부산광역시,사하구,하단5일상설시장,관광지,쇼핑,25
3c870670f6907876b1256862ae11ccf6,부산광역시,사하구,오이아호텔,숙박,숙박,26
dd3bbd96a763adc4f409ee41daeae1a5,부산광역시,사하구,CGV/하단아트몰링,관광지,문화관광,27
20bfa77787adcf9ac929a8997bc1f024,부산광역시,사하구,다대포꿈의낙조분수,관광지,기타관광,28
