순위,중심관광지ID,중심관광지명,중심시도명,중심시군구명,중심카테고리 명_중,연관관광지ID,연관관광지명,연관관광지시도명,연관관광지시군구명,구분
1,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,부산광역시,사하구,자연관광,943b04432f738e9bb91407d784abe573,다대포해변공원,부산광역시,사하구,문화관광
2,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,부산광역시,사하구,자연관광,4f8c6518acd1e6ff053e589e0ac90fa7,송도해수욕장,부산광역시,서구,자연관광
3,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,부산광역시,사하구,자연관광,f6edce2b2c6eb4e26b2ff6310146736d,아미산전망대,부산광역시,사하구,문화관광
4,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,부산광역시,사하구,자연관광,037c8b66195005ef3d541e191791c527,스타필드시티/명지,부산광역시,강서구,쇼핑
5,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,부산광역시,사하구,자연관광,d6dc86e69c840d73ff5067a11c789691,자갈치시장,부산광역시,중구,쇼핑
6,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,부산광역시,사하구,자연관광,3d729366aaea275cb43eb1f8ed4edea5,영진돼지국밥/본점,부산광역시,사하구,음식
7,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,부산광역시,사하구,자연관광,8e5645030d7d79144dffe58933a410ac,을숙도공원,부산광역시,사하구,문화관광
8,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,부산광역시,사하구,자연관광,46760a68bdafbf8cc4606a4193450653,암남공원,부산광역시,서구,문화관광
9,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,부산광역시,사하구,자연관광,e3e21c5cd7f25921dfe9713f02ebcd9e,장림골목시장,부산광역시,사하구,쇼핑
10,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,부산광역시,사하구,자연관광,e072c1b4998d4085fa9a342d74a7042f,부산현대미술관,부산광역시,사하구,문화관광
11,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,부산광역시,사하구,자연관광,9a534489368634e1093d016bb5b5d573,장림포구,부산광역시,사하구,자연관광
12,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,부산광역시,사하구,자연관광,1afce0d010e203fa0b9b7c3e138777fe,삼락생태공원,부산광역시,사상구,문화관광
13,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,부산광역시,사하구,자연관광,33d302d57cec6f5a85917dec958d1a01,스타벅스/명지강변DT점,부산광역시,강서구,음식
14,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,부산광역시,사하구,자연관광,553a1099bf1a5568f3e6153e44dbd6c7,김해국제공항,부산광역시,강서구,기타관광
15,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,부산광역시,사하구,자연관광,22b6b4d8b2451c3ddb16424b246cbd24,고니나루쉼터,부산광역시,사하구,문화관광
16,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,부산광역시,사하구,자연관광,b9dab70a4eac8268531bbd26c0ac30aa,감천문화마을,부산광역시,사하구,기타관광
17,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,부산광역시,사하구,자연관광,ae901317abf2d1076754be451457aea4,아트몰링/하단점,부산광역시,사하구,쇼핑
18,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,부산광역시,사하구,자연관광,ea7e95378ed2397d322178e2e6d431d5,정짓간/신평본점,부산광역시,사하구,음식
